06:30 CM
07:00
07:30 SS
08:00
08:25 SS
09:05 SS
09:40
10:10
10:30
10:45 SS
11:10
11:30 SS
11:40 SS
12:05
12:35 CM
13:10 SS
13:30
13:50
14:05
14:30
14:45
15:00
15:30
16:15
16:35
16:55
17:15
17:35
17:55
18:10 SS
18:30
19:15
20:00
20:30
21:10
21:40
22:20
23:05 1
