05:25 §
06:15 Pádua
06:20 Cas
06:50 T
07:10
08:00
09:30
10:35
11:15
11:40 ?
12:15
13:15
14:00 ?
14:55
16:00 RT
16:20
16:55
17:15
17:30
17:40 ! ?
17:47 !!
17:50 !!
17:55 Da Mar
18:05 ?
18:33
19:15
20:35 !!
21:23 !!
22:15
22:40 !! Rod
23:05 !!
