06:00 B RR
06:27 N
06:37 * B
06:50 B
07:00 $ N
07:05 2 B Cer
07:15 N
07:20 B
07:30 B
07:42 N
07:50 * B
07:58 N
08:06 B
08:15 N oo
08:25 B
08:38 N
08:55 B
09:15 N
09:35 B
10:05 B
10:10 @ Cer N
10:30 B
10:50 N
11:02 B
11:15 N
11:25 * B
11:35 2 Cer N
11:46 B
12:00 2 Cer N
12:10 B
12:22 N oo
12:30 * B
12:40 N oo
12:50 B
12:56 N
13:05 * B
13:13 N
13:20 B
13:30 N
13:42 B
13:50 @ N
14:08 B
14:25 N
14:40 B
15:05 N
15:25 B
15:40 & N
15:52 B
16:05 N
16:20 B
16:35 N
16:45 B
17:02 B
17:10 N oo
17:20 B
17:30 # 2 Cer
17:38 B
17:50 N
18:00 * B
18:10 N
18:18 2 Cer N
18:25 B
18:35 CM N
18:45 B
18:55 N oo
19:05 B oo
19:20 N
19:30 B
19:45 N
20:00 B
20:20 N
20:42 B
21:00 B
21:20 N
21:45 B
22:00 N
22:25 $ B
22:45 N RR
23:05 B RR
23:22 Cer N
