^ - Santa Mate
@ - FAz o refugio na entrada do colegio Joao da Maia Braga na volta.
* - Arenal
** - Via Caic Minuano
# - VAI NO SEMINÁRIO
Az - Passa na escola Adelina Zanchi
D - Dores
Pp $ - Pau a pique invertido, passa no frigorifico silva na volta
PP Mn - Pau a pique via Minuano
Rc - Passa na escola Reinaldo Cozer
Via ca - Via Cachoeira
