06:00 Cipr Flor
06:25 Cipr jk Ve
06:33 & Cipr Fr
06:50 Flor Fr
06:50 Cipr Rb Ve
07:00 # Cipr Flor
07:25 Flor Fr
07:25 §
07:45 Flor MM
08:00 Flor Fr
08:00 T Man U
08:00 § Flor
08:10 Flor
08:20 2 U
08:50 2 U
09:05 2 T Man U
09:20 2 U
09:35 Flor
10:20 2 U
10:45 Flor Fr
11:05 T Man VP
11:35 Flor Fr
12:05 T Man U
12:18 & Flor
12:35 ! T Man Ve
12:40 Flor Rb
13:00 Flor Fr Ve
13:20 Flor Fr
13:25 T Man U
13:50 ! T Man
14:20 Flor
14:55 T Man VP
15:20 Flor
15:45 2 T Man U
16:30 Flor Fr
17:05 Fr T Man U
17:20 DI T Man U
17:55 * Flor Fr
18:20 ! Fr T Man
19:05 ! Fr Ve
20:40 ! T Man
21:05 T Man U
22:07 U
22:12 !
