06:07 Flor
07:00 Flor
07:25 Flor Fr
08:00 Flor Fr
08:15 2 U
08:25 Flor Fr
09:00 T Man U
09:30 Flor
10:30 Flor
11:35 Flor Fr
11:37 T Man U
12:05 T Man U
14:00 Flor Fr
15:00 Flor
16:00 Flor Fr
17:00 Flor Fr
18:00 Flor Fr
