06:25 + Flor Fr
06:55 Flor Fr
07:25 Flor Fr
07:28 T Man U
07:40 + T Man U
07:50 2 T Man U
08:15 U
08:25 2 T Man U
09:05 Flor
09:45 2 T Man U
10:10 Flor Fr
10:25 T Man VP
11:00 Flor Fr
11:30 2 U
11:40 & Flor Fr
12:00 ! T Man
12:00 Flor Rb
12:12 Flor Fr Ve
12:20 Fr VP
12:55 2 T Man U
13:10 ! T Man
13:20 U
13:50 Flor
14:10 T Man VP
14:55 Flor
15:10 2 T Man U
15:55 Flor Fr
16:20 2 T Man U
16:40 Cipr T Man U
17:20 Flor Fr
17:30 Fr Man T Man
17:50 & Rb T Man
18:15 Fr T Man Ve
18:22 Man U
18:40 ! Cipr Ve
19:15 Cipr Flor
20:00 ! T Man Ve
21:10 ! T Man
22:35 ! Cipr T Man
23:15 ! Fr T Man
