08:00;Km 23 Via Est. P.
10:00;Km 23
13:00;Km 29
15:00;Km 23 / Est. T
17:00;Km 23
18:00;Km 29
19:00;Km 23 / Estação
20:00;Encruzilhada  do  Pinhal
