223C;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R MAJOR DUARTE R BENJAMIN CONSTANT R TUIUTI R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS
223B;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R MAJOR DUARTE R BENJAMIN CONSTANT R TUIUTI R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL SITIO
223G;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R MAJOR DUARTE R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R BENTO GONÇALVES R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS
223D;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R MAJOR DUARTE R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R BENTO GONÇALVES R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL RINCÃO
223F;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL RINCAO
223H;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R MAJOR DUARTE R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R BENTO GONÇALVES R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL XANGO
223I;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R MAJOR DUARTE R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R BENTO GONÇALVES R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL SITIO
223R;R LUIZ CASTAGNA R AUGUSTO RIBAS R LUIZ DURAND R TENENTE MIRANDA R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R ÂNGELO UGLIONE R ANDRÉ MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANTÔNIO DIAS R GUARACI SCHMIDT TERMINAL SITIO
212A;R VEREADOR ANTÔNIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R ASSIS BRASIL R CORONEL ERNESTO BECKER R JOSÉ DO PATROCÍNIO R ANDRÉ MARQUES R VALE MACHADO AV RIO BRANCO R DO ACAMPAMENTO R JOSÉ BONIFÁCIO R RIACHUELO R PINHEIRO MACHADO R BENJAMIN CONSTANT R TUIUTI R BENJAMIN CONSTANT R MAJOR DUARTE R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
212B;R VEREADOR ANTÔNIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PINTO BANDEIRA R EUCLIDES DA CUNHA R OSVALDO SCHIRMER R FÉLIX MANARIN R VACARIA R JOÃO BRUNHAUSER R PROFESSOR FONTOURA ILHA R LUIZ CASTAGNA
