06:20 1
06:58 Sem/VP VP 
07:20 VP 
08:24 
11:30 
12:05 do Sem VP 
12:20 Sem/PB 
13:16 
13:42 
15:25 
16:15 VP 
17:20 do Sem VP 
17:55 da Rod 
18:25 VP 
22:15 da Rod 
