155A;7 DE DEZEMBRO
212R;R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS R GUARACI SCHMIDT TERMINAL RINCAO
212X;R PADRE CAETANO R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS R GUARACI SCHMIDT TERMINAL XANGO
541C;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS
541L;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS R GUARACI SCHMIDT TERMINAL SITIO
541D;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R DOUTOR TURI R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV. RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS
100P;CAMOBI
100Q;FAIXA VELHA VAI ATÉ APÓS A BASE
100B;SAI DA BASE AEREA PASSA LIQUIGAS APOS VAI CENTRO
100M;VIA MANECO PASSA NO CENTRO APÓS VAI A RODOVIARIA
100G;(-)
100F;CAMOBI VIA C.F. FERRARI
100V;CAMOBI
100U;CAMOBI
212S;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANT�NIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212C;R VEREADOR ANT�NIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212D;R VEREADOR ANT�NIO DIAS R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R OSVALDO ARANHA R. ALAMEDA BUENOS AIRES AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212G;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANT�NIO DIAS / VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R OSVALDO ARANHA R ALAMEDA BUENOS AIRES AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212I;TERMINAL SITIO R GUARACI SCHMIDT R VEREADOR ANT�NIO DIAS/VENDA R EUCLIDES DA CUNHA R VISCONDE DE FERREIRA PINTO R MARECHAL DEODORO R SETE DE SETEMBRO R MANOEL RIBAS AV RIO BRANCO R DO ACAMPAMENTO AV NOSSA SENHORA MEDIANEIRA AV NOSSA SENHORA DAS DORES R PADRE CAETANO
212L;TERMINAL RINC�O R GUARACI SCHMIDT R VEREADOR ANT�NIO DIAS R EUCLIDES DA CUNHA R PINTO BANDEIRA
212N;TERMINAL RINC�O R GUARACI SCHMIDT R VEREADOR ANT�NIO DIAS / VENDA R EUCLIDES DA CUNHA R PINTO BANDEIRA
