155A;7 DE DEZEMBRO
154R;PARQUE PINHEIRO MACHADO RINCO DOS BASTOS FERREIRA E CIPRIANO
154S;PARQUE PINHEIRO MACHADO VIA CIPRIANO SAI DO WIETHAN
154T;PARQUE PINHEIRO MACHADO SAI DO MERCADO BRUTTI
154V;PARQUE PINHEIRO MACHADO SAI DO MERCADO MORAES
154X;PARQUE PINHEIRO MACHADO FERREIRA CORREDOR STEFANOM
154K;PARQUE PINHEIRO MACHADO VIA ECOLOGIA VIA MANECO
154Y;PARQUE PINHEIRO VIA DISTRITO INDUSTRIAL
154W;PARQUE PINHEIRO MACHADO FERREIRA
154I;PARQUE PINHEIRO MACHADO FERREIRA VIA ECOLOGIA E MANECO
154H;PARQUE PINHEIRO MACHADO VIA MANECO
154B;PARQUE PINHEIRO MACHADO COCA COLA
154D;SAI DO MANECO
154G;FERREIRA CORREDOR ESTEFANON
154Z;LOTEAMENTO CIPRIANO DA ROCHA
154J;CIPRIANO DA ROCHA
154L;RINCAO DOS BASTOS E CORREDOR STEFANON
154M;PARQUE PINHEIRO MACHADO VILA ECOLOGIA MANECO E CIPRIANO DA ROCHA
154O;PARQUE PINHEIRO MACHADO VIA MANECO E CIPRIANO DA ROCHA
157A;Via Niederauer
157B;Via Parque Noal
157C;
154B;PARQUE PINHEIRO COCA COLA
158B;
0181;PASSO DAS TROPAS
181A;PASSO DAS TROPAS PAU A PIQUE
181R;PASSO DAS TROPAS MINUANO RODOVIARIA VIA SANTOS E URLANDIA
181B;PASSO DAS TROPAS VIA FRIGORIFICO SILVA
181G;PASSO DAS TROPAS VIA MINUANO
181F;PASSO DAS TROPAS VIA SANTA MATE
181Q;PASSO DAS TROPAS ANTAO ABRANTES
181Y;PASSO DAS TROPAS FRIGORIFICO SILVA SEMINARIO
181K;PASSO DAS TROPAS PARQUE DOM ANTONIO REIS
0162;PATRONATO
162R;BOI MORTO PATRONATO RODOVIARIA
162A;PATRONATO VILA RENASCENCA
162R1;BOI MORTO PATRONATO RODOVIARIA ATE COL SANTA MARTA
162B;PATRONATO VILA RENASCENCA VIA ANA NERI
143V;Penitenci�ria - Corredor Santa Marta - Caturrita - curva do L - Salgado Filho - Acampamento
143V;Penitenci�ria - Corredor Santa Marta - Santa Terezinha - Caturrita - curva do L - Salgado Filho - Acampamento
143V;Penitenci�ria - Corredor Santa Marta - Santa Terezinha - Caturrita - Bela Uni�o - curva do L - Salgado Filho - Acampamento
143Z;Penitenci�ria - Santa Terezinha - Caturrita - Bela Uni�o - curva do L - Salgado Filho - Acampamento
143V;Penitenci�ria - Corredor Santa Marta - Santa Terezinha - Caturrita - Bela Uni�o - curva do L - Kennedy - Acampamento
0156;PRADO
156C;PRADO VIA CARAMELO
156P;PRADO VIA PA PATRONATO
158E;RIACHUELO VIA RODOVIARIA
158A;RIACHUELO
158B;RIACHUELO
198T;SAO JOAO-SILVA JARDIM-ROSSATO
198E;ROSSATO - CENTRO
198F;KM3-ROSSATO-SAO JOAO
144A;Salgado Filho - Acampamento
144B;Salgado Filho - Rodovi�ria
0155;SANTA MARTA
155P;SANTA MARTA PA PATRONATO
155N;SANTA MARTA DISTRITO INDUSTRIAL
155H;SANTA MARTA ATE T NEVES
155S;SANTA MARTA ENTRA PEGANDO TREVO
237A;SANTA TEREZA - CHACARA DAS FLORES
146A;Santa Terezinha- Bela Uni�o - Curva L - Boa Vista - Vitoria - Norte - Kennedy - Acampamento
146E;Santa Terezinha - Caturrita - Bela Uni�o - Salgado Filho - Acampamento
146B;Santa Terezinha - Caturrita - Curva do L - Salgado Filho - Rodovi�ria
146C;Santa Terezinha - Caturrita - curva do L - Salgado Filho - Acampamento
146;SANTA TEREZINHA
0591;SANTOS
591D;SANTOS OTAO VIA TROPICAL E PATRONATO
591D;SANTOS TROPICAL OTAO NA VOLTA
591A;SANTOS TROPICAL
591G;SANTOS SEMINARIO
591J;SANTOS VIA PRESIDENTE VARGAS
591B;SANTOS OTAO NA IDA
590E;SANTOS VIA URLANDIA
198H;FORUM - SAO JOAO
198I;RODOVIARIA-SAO JOAO
198Y;FORUM- SAO JOAO
198H;SAO JOAO - KM2- SILVA JARDIM-FORUM
198I;SAO JOAO - KM2 - SILVA JARDIM-FORUM-RODOVIARIA
198O;SAO JOAO - VENANCIO AIRES-FORUM-RODOVIARIA
198P;SAO JOAO - KM2 - CAROLINA-SILVA JARDIM-FORUM-RODOVIARIA
198X;SAO JOAO - KM2 -VENANCIO-FORUM
198Y;SAO JOAO - KM2 -SILVA JARDIM- FORUM
S100;SELETIVO CAMOBI
S143;SELETIVO CATURRITA
S160;SELETIVO T NEVES
S196;SELETIVO UFSM
196I;T NEVES CAMPUS
196JM;T NEVES CAMPUS VIA CASUSA
196X;T NEVES CAMPUS ATE O TREVO DA UGLIONE
196K;T NEVES CAMPUS VIA NOVA SANTA MARTA
196W;T NEVES CAMPUS SAI DA ROTULA DA UFSM
196V;T NEVES CAMPUS ATE O TREVO DO BOI MORTO
196Y;T NEVES CAMPUS VIA LAVRAS DO SUL
196P;T NEVES CAMPUS SAI DA SANTA MARTA
0160;TANCREDO NEVES
160C;TANCREDO NEVES RIO BRANCO VIA SANTA MARTA
160E;TANCREDO NEVES VIA RIO BRANCO
160F;TANCREDO NEVES VIA AVENIDA MEDIANEIRA
160I;TANCREDO NEVES VIA SANTA MARTA
160M;TANCREDO NEVES VIA MANECO
160P;TANCREDO NEVES PA PATRONATO
160E;TANCREDO NEVES VIA RIO BRANCO
160B;TANCREDO NEVES RODOVIARIA
160J;TANCREDO NEVES RODOVIARIA VIA SEMINARIO SAO JOSE
160Q;TANCREDO NEVES VIA CIPRIANO
160R;TANCREDO NEVES VIA RINCAO DOS BENTOS
160S;TANCREDO NEVES VIA SANTA MARTA E CENTRO COMERCIAL
160T;TANCREDO NEVES VIA VALE MACHADO
160D;TANCREDO NEVES SAI DO CENTRO COMERCIAL
196A;UFSM FAIXA VELHA
196B;UFSM FAIXA NOVA
196C;UFSM TAMBO
196D;UFSM BOMBEIROS FAIXA NOVA
196E;UFSM BOMBEIROS FAIXA VELHA
196F;UFSM BOMBEIROS TAMBO
1966;UFSM CIRCULAR ATE AV. MEDIANEIRA
1965;UFSM CIRCULAR ATE A UFSM
196H;UFSM CIRCULAR VIA FAIXA NOVA
196G;UFSM CIRCULAR SAI DA EUCLIDES DA CUNHA
0590;URLANDIA
590E;URLANDIA SEMINARIO
590A;URLANDIA TROPICAL
590D;URLANDIA OTAO PATRONATO NA IDA
590D;URLANDIA VIA COLEGIO PATRONATO
590B;URLANDIA OTAO NA VOLTA
590E;URLANDIA SEMINARIO
237A;VILA DO CARMO - CHACARA DAS FLORES
180B;VILA LORENZI
236;VILA OLIVEIRA
158E;VILA OLIVEIRA RODOVIARIA
S235;VILA OLIVEIRA RODOVIARIA SELETIVO
236P;VILA OLIVEIRA RODOVIARIA VIA SEST/SENAT CENTRO MEDICO
0159;VILA ROSSI
159A;VILA ROSSI VIA RESIDENCIAL LOPES
159C;VILA ROSSI VIA RESIDENCIAL LOPES SAO SERAFIM
159M;VILA ROSSI SAO SERAFIM VIA MAURICIO SIROTSKI SOBRINHO
159B;VILA ROSSI SAO SERAFIM
159H;VILA ROSSI FAIXA DE ROSARIO VIA RESIDENCIAL LOPES
223A;VIA BRIGADA - CARREFOUR
223B;VILA LESTE - SITIO
223C;VILA LESTE - CAMPESTRE
223D;RINCAO - VENDA - VILA LESTE
223E;VILA LESTE - CARREFOUR
223G;VILA LESTE - VIA BENTO GONCALVES - CAMPESTRE
223H;VILA LESTE - VIA BENTO GONCALVES - XANGO
223I;VILA LESTE - VIA BENTO GONCALVES - SITIO
223K;VILA LESTE - ATE IGREJA SANTA CATARINA
223Q;VIA BRIGADA
223R;VIA BRIGADA - SITIO
223T;
223V;VILA LESTE - PONTO DE APOIO
212E;VIA BRIGADA - CAMPESTRE
212F;VIA AV. DORES - CAMPESTRE
541S;VILA LESTE - ITARARE
212Q;VIA BRIGADA - CAMPESTRE - XANGO
541K;CLUBE VIA ITARARE
223F;RINCAO
541Q;VILA SCHIRMER VIA ITARARE
223P;VIA 21 DE ABRIL - VILA LESTE
212J;CAMPESTRE VIA SILVA JARDIM
212B;CAMPESTRE VIA BRIGADA
212Z;CAMPESTRE VIA SILVA JARDIM - RUA IVORA
212A;CAMPESTRE VIA ASSIS BRASIL - VILA LESTE
541T;ITARARE - VILA - MONTANHA
212U;CAMPESTRE VIA ASSIS BRASIL - BRIGADA
212H;SITIO - VENDA - VILA LESTE
212K;XANGO - VENDA - VILA LESTE
212T;SITIO - VENDA - BRIGADA
223J;CAMPESTRE VIA ASSIS BRASIL - LESTE
223M;RINCAO - VENDA - VIA SILVA JARDIM - BRIGADA
223L;SITIO - VENDA - BRIGADA
223O;CAMPESTRE - VIA RUA IVORA
140;Vit�ria - Norte - Caturrita - Bela Uni�o - Kennedy - Rodovi�ria
140K;Vit�ria - Norte - Kennedy - Acampamento
140M;Vit�ria - Norte - Salgado Filho - Acampamento
140L;Vit�ria - Norte - Kennedy - Rodovi�ria
140N;Vit�ria - Norte - Salgado Filho - Rodovi�ria
140E;Vit�ria - Itagiba - Norte - Kennedy - Acampamento
140G;Vit�ria - Itagiba - Norte - Salgado Filho - Acampamento
140I;Vit�ria - Borges - Kennedy - Acampamento
140I;Vit�ria - Itagiba - Borges - Kennedy - Acampamento
140J;Vit�ria - Norte - Caturrita - Bela Uni�o - curva do L - Kennedy - Acampamento
