AD - Adelmo G.Filho
APB - sai 06:50 do Abrantes por baixo não vai cachoeira
Ca - Sai 07:45 do FSilva e 07:50 do Cachoeira
caic - passa no caic na volta
Cap. - Capivara rua
Feltrin - Sai do Feltrin em direção ao centro
Feltrin - Sai do feltrin em direção ao centro
Fg - Frigorifico Duarte
FS - Frigorifico Silva
FX - Vai antão Abrantes entra no cachoeira ao contrário indo pela faixa
IP - passa colégio da Tomazetti (sai Rondon)
Mn - Minuano
ON - Otao na volta
PDAR - PARQUE DOM ANTÔNIO REIS
Pp - paua Pique
PPT - sai 12:15 do PPIque e 12:20 do P tropas
Pt - Passo das tropas
RC - Escola Reinaldo Cozer
Rod - Via Rodoviaria
Sg - vai na rua São Gabriel vila Urlandia
US - VIA URLÃNDIA E SANTOS
Vl - Vila Lorenzi
Vs - Vila severo
Vt - Vila Thomaz
X - Vai até a IMEX SUL
Y - volta pela BR 392
^ - Santa Mate
! - Via Jose Tavares entra na lombada e sai no cachoeira
] - Prol Antão Abrantes
* - Passa na esc. R.Coser (entra na rua do caic e sai na rua do Pozzobon)
# - Seminário
% - Via Av Medianeira E Corinthians
+ - via otão
1 - Via Res Ceu Azul
2 - dá fim de linha no bairro
3 - entra na lombada vai no pau a pique passa no F Sila e volta pela BR
4 - via arenal
5 - Parque D A Reis, Via Urlândia e Santos, Antão Abrantes, Lorenzi
D - Dores
