$ - Parque Dom Antonio Reis
* - Adelmo Genro Filho
# - Seminário
2 - Passa no Res Ceu Azul
Fg - Via Frigorífico Duarte
Mn - Minuano
Rc - Escola Reinaldo Cozer
Vl - Vila Lorenzi
Vt - Vila Thomaz
