00:30 Mn Pt
07:05 Vl 
08:15 Vl 
09:05 + Mn Vl 
10:05 + Mn Vl 
11:05 + Mn Vl 
12:10 Vl 
14:25 + Mn Vl 
15:30 + Mn Vl 
17:00 + Mn Vl 
18:40 + Mn Vl 
