07:10 BM MV
07:50 BM DA
08:10 BM DA SCA
09:30 BM DA
10:45 BM DA LG
12:00 BM BZ VE
13:15 BM MV
15:15 BM MV
16:30 BM VE
17:00 LG LGSAQU MV
17:35 BM MV Via Man
18:15 BM BZ VE
18:50 BM Man MV
19:30 Man MV Via Man
22:45 BM VE Via Man
